1,Minotaaauuuur,crown-10.json,1.10E+110,
2,Minotaaauuuur,Bone-13.json,1.11E+98,
3,Aqillukitties,crown-10.json,2.22E+111,
4,Dagang,crown-10.json,2.10E+110,
5,BoomPop,crown-10.json,2.22E+111,
6,BoomPop,spoon-12.json,0,
7,Dagang,spoon-12.json,0,
8,ScAvengers Assemble,crown-10.json,2.21E+110,
9,BoomPop,fountain-18.json,1.12E+102,
10,sasssquatches,crown-10.json,2.22E+111,
11,BoomPop,HCircle-2.json,0,
12,Dagang,fountain-18.json,2.20E+102,
13,Minotaaauuuur,fountain-18.json,1.30E+102,
14,ScAvengers Assemble,fountain-18.json,3.10E+102,
15,sasssquatches,HCircle-2.json,2.21E+107,
16,BoomPop,fly-2.json,1.10E+98,
17,Aqillukitties,spoon-12.json,1.00E+120,
18,ScAvengers Assemble,fly-2.json,3.33E+103,
19,Dagang,fly-2.json,2.11E+103,
20,ScrewTimezones,crown-10.json,3.30E+110,
21,TeamCatBath,crown-10.json,1.10E+110,
22,ScAvengers Assemble,chicken-11.json,2.20E+113,
23,WomanateesLovesCabbage,crown-10.json,2.20E+110,
24,AffiliatedGeeks,crown-10.json,2.20E+110,
25,Aqillukitties,chicken-11.json,2.21E+115,
26,ScAvengers Assemble,hammer-18.json,1.00E+115,
27,AffiliatedGeeks,hammer-18.json,1.00E+115,
28,LUNAtiCS,crown-10.json,2.11E+111,
29,WomanateesLovesCabbage,hammer-18.json,1.00E+115,
30,Dagang,chicken-11.json,1.00E+104,
31,Aqillukitties,hammer-18.json,1.21E+116,
32,Hornswogglers,crown-10.json,2.20E+110,
33,TeamCatBath,hammer-18.json,1.11E+116,
34,sasssquatches,fly-2.json,2.20E+98,
35,ScrewTimezones,chicken-11.json,1.33E+114,
36,ScAvengers Assemble,chopper-12.json,1.03E+102,
37,Aqillukitties,guitar-1.json,2.00E+108,
38,SpaceGiraffes,crown-10.json,2.11E+111,
39,LUNAtiCS,guitar-1.json,1.11E+107,
40,Hornswogglers,guitar-1.json,2.00E+108,
41,BoomPop,chopper-12.json,1.11E+102,
42,MightyFightyFerrets,crown-10.json,2.11E+111,
43,iKale,crown-10.json,1.10E+110,
44,ScrewTimezones,guitar-1.json,3.00E+108,
45,AffiliatedGeeks,guitar-1.json,2.20E+104,
46,ScAvengers Assemble,guitar-1.json,1.00E+106,
47,Dagang,chopper-12.json,1.21E+102,
48,Aqillukitties,chopper-12.json,1.11E+102,
49,SpaceGiraffes,pocket-16.json,1.11E+94,
50,JustUsLeague,crown-10.json,1.10E+110,
51,ladiesofletters,crown-10.json,2.22E+111,
52,ScrewTimezones,pocket-16.json,1.10E+94,
53,LUNAtiCS,pocket-16.json,2.21E+95,
54,ScrewTimezones,imageA16.json,0,
55,sasssquatches,guitar-1.json,2.00E+108,
56,ImagineAbaddon,crown-10.json,1.10E+110,
57,AffiliatedGeeks,pocket-16.json,2.21E+95,
58,LUNAtiCS,imageA16.json,2.22E+102,
59,Dagang,pocket-16.json,2.10E+94,
60,ScAvengers Assemble,pocket-16.json,1.00E+98,
